tripadvisor_id,name,thumbnail,longitude,latitude,city,state,country,address,price,currency_code,estimated_time,subcategory,rating,popularity,detail_url,product_website,weekday_hours,neighbors
3660534,Ewa Beach Golf Club,https://media-cdn.tripadvisor.com/media/photo-o/06/ce/8b/f0/ewa-beach-golf-club.jpg,-157.99236,21.31603,Honolulu,Ewa Beach,Pacific/Honolulu,"91-050 Fort Weaver Rd, Ewa Beach, Oahu, HI 96706-2952",,JPY,2,"[{'name': 'outdoor_activities', 'localized_name': 'Outdoor Activities'}, {'name': 'activities', 'localized_name': 'Activities'}]",4.5,46,https://www.tripadvisor.com/Attraction_Review-g60645-d3660534-Reviews-Ewa_Beach_Golf_Club-Ewa_Beach_Oahu_Hawaii.html?m=66827,http://www.ewabeachgc.com/,"['Monday: 10:30 - 18:30', 'Tuesday: 10:30 - 18:30', 'Wednesday: 10:30 - 18:30', 'Thursday: 10:30 - 18:30', 'Friday: 10:30 - 18:30', 'Saturday: 06:30 - 19:00', 'Sunday: 06:30 - 19:00']",[]
9764074,Queen Liliuokalani Statue,https://media-cdn.tripadvisor.com/media/photo-o/0a/2e/f2/eb/homenagem.jpg,-157.85762,21.307154,Honolulu,Honolulu,Pacific/Honolulu,"between the State Capitol Building and the Iolani Palace Downtown Honolulu, Honolulu, Oahu, HI",,JPY,2,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",4.0,23,https://www.tripadvisor.com/Attraction_Review-g60982-d9764074-Reviews-Queen_Liliuokalani_Statue-Honolulu_Oahu_Hawaii.html?m=66827,http://www.hawaiiforvisitors.com/oahu/attractions/liliuokalani-statue.htm,,[]
255184,Ala Moana Beach Park,https://media-cdn.tripadvisor.com/media/photo-o/25/20/8d/0c/caption.jpg,-157.84822,21.28977,Honolulu,Honolulu,Pacific/Honolulu,"1201 Ala Moana Blvd, Honolulu, Oahu, HI 96814-4205",,JPY,2,"[{'name': 'nature_parks', 'localized_name': 'Nature & Parks'}, {'name': 'attractions', 'localized_name': 'Attractions'}, {'name': 'outdoor_activities', 'localized_name': 'Outdoor Activities'}, {'name': 'activities', 'localized_name': 'Activities'}]",4.5,1991,https://www.tripadvisor.com/Attraction_Review-g60982-d255184-Reviews-Ala_Moana_Beach_Park-Honolulu_Oahu_Hawaii.html?m=66827,,"['Monday: 04:00 - 22:00', 'Tuesday: 04:00 - 22:00', 'Wednesday: 04:00 - 22:00', 'Thursday: 04:00 - 22:00', 'Friday: 04:00 - 22:00', 'Saturday: 04:00 - 22:00', 'Sunday: 04:00 - 22:00']",['21001939']
3573231,Kama'aina Kayak and Snorkel EcoVentures,https://media-cdn.tripadvisor.com/media/photo-o/17/88/26/39/kayaking-in-kane-ohe.jpg,-157.80882,21.4418,Honolulu,Kaneohe,Pacific/Honolulu,"Kaneohe, Oahu, HI",,JPY,2,"[{'name': 'boat_tours_water_sports', 'localized_name': 'Boat Tours & Water Sports'}, {'name': 'outdoor_activities', 'localized_name': 'Outdoor Activities'}, {'name': 'sightseeing_tours', 'localized_name': 'Tours'}, {'name': 'activities', 'localized_name': 'Activities'}]",5.0,736,https://www.tripadvisor.com/Attraction_Review-g60653-d3573231-Reviews-Kama_aina_Kayak_and_Snorkel_EcoVentures-Kaneohe_Oahu_Hawaii.html?m=66827,http://www.kamaainakidskayaking.org,"['Monday: 08:00 - 16:00', 'Tuesday: 08:00 - 16:00', 'Wednesday: 08:00 - 16:00', 'Thursday: 08:00 - 16:00', 'Friday: 08:00 - 16:00', 'Saturday: 08:00 - 16:00', 'Sunday: Closed']",[]
12097316,Wellness Renewed in Hawaii,https://media-cdn.tripadvisor.com/media/photo-o/0e/3a/54/41/getlstd-property-photo.jpg,-157.81161,21.25606,Honolulu,Honolulu,Pacific/Honolulu,"Waikiki Beach, Honolulu, Oahu, HI 96815",,JPY,2,"[{'name': 'wellness_spas', 'localized_name': 'Spas & Wellness'}, {'name': 'activities', 'localized_name': 'Activities'}]",,0,https://www.tripadvisor.com/Attraction_Review-g60982-d12097316-Reviews-Wellness_Renewed_in_Hawaii-Honolulu_Oahu_Hawaii.html?m=66827,http://www.wellnessrenewedinhawaii.com,,[]
12946698,Ala Moana Tennis Court,,-157.84822,21.28977,Honolulu,Honolulu,Pacific/Honolulu,"1201 Ala Moana Blvd, Honolulu, Oahu, HI 96814-4205",,JPY,2,"[{'name': 'fun_games', 'localized_name': 'Fun & Games'}, {'name': 'activities', 'localized_name': 'Activities'}]",5.0,2,https://www.tripadvisor.com/Attraction_Review-g60982-d12946698-Reviews-Ala_Moana_Tennis_Court-Honolulu_Oahu_Hawaii.html?m=66827,,,[]
2522682,USS Oklahoma Memorial,https://media-cdn.tripadvisor.com/media/photo-o/02/5a/a0/dd/sign-at-memorial.jpg,-157.94473,21.36909,Honolulu,Honolulu,Pacific/Honolulu,"Ford Island Pearl Harbor, Honolulu, Oahu, HI",,JPY,2,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",4.5,371,https://www.tripadvisor.com/Attraction_Review-g60982-d2522682-Reviews-USS_Oklahoma_Memorial-Honolulu_Oahu_Hawaii.html?m=66827,http://www.ussoklahoma.com/Pearl_Memorial.html,,[]
14999124,Hawaii Lacrosse Invitational,,-157.81657,21.26603,Honolulu,Honolulu,Pacific/Honolulu,"3840 Paki Ave, Honolulu, Oahu, HI 96815-4523",,JPY,2,"[{'name': 'events', 'localized_name': 'Events'}, {'name': 'activities', 'localized_name': 'Activities'}]",,0,https://www.tripadvisor.com/Attraction_Review-g60982-d14999124-Reviews-Hawaii_Lacrosse_Invitational-Honolulu_Oahu_Hawaii.html?m=66827,http://www.HawaiiLacrosse.com,,[]
16760203,Mikihala Sportfishing,https://media-cdn.tripadvisor.com/media/photo-o/16/a7/1e/11/getlstd-property-photo.jpg,-157.89056,21.3148,Honolulu,Honolulu,Pacific/Honolulu,"4 Sand Island Access Rd Keehi Small Boat Harbor, Honolulu, Oahu, HI 96819-2274",,JPY,2,"[{'name': 'boat_tours_water_sports', 'localized_name': 'Boat Tours & Water Sports'}, {'name': 'outdoor_activities', 'localized_name': 'Outdoor Activities'}, {'name': 'sightseeing_tours', 'localized_name': 'Tours'}, {'name': 'activities', 'localized_name': 'Activities'}]",,0,https://www.tripadvisor.com/Attraction_Review-g60982-d16760203-Reviews-Mikihala_Sportfishing-Honolulu_Oahu_Hawaii.html?m=66827,http://Www.mikihala.com,,[]
7813141,Blue Hawaii Divers,https://media-cdn.tripadvisor.com/media/photo-o/0a/38/7d/a0/hanauma-bay-snorkeliing.jpg,-157.81236,21.26741,Honolulu,Honolulu,Pacific/Honolulu,"3644 Diamond Head Cir, Honolulu, Oahu, HI 96815-4430",,JPY,2,"[{'name': 'boat_tours_water_sports', 'localized_name': 'Boat Tours & Water Sports'}, {'name': 'outdoor_activities', 'localized_name': 'Outdoor Activities'}, {'name': 'sightseeing_tours', 'localized_name': 'Tours'}, {'name': 'activities', 'localized_name': 'Activities'}]",5.0,16,https://www.tripadvisor.com/Attraction_Review-g60982-d7813141-Reviews-Blue_Hawaii_Divers-Honolulu_Oahu_Hawaii.html?m=66827,http://bluehawaiidivers.com,,[]
