location_id,text,name
3660534,"Hidden Gem! Great food, great view, excellent customer service. This is our favorite place yoeat. Wish they would open later for dinner.We even had my sister in law's wedding ceremony in the front courtyard. Absolutely beautiful and the staff was so accommodating.",Ewa Beach Golf Club
3660534,"Beautifully maintained golf course, difficult but fun I've played this course many times over the years, and have always marveled at how well the staff keeps it manicured and maintained so nicely.  It is a difficult course for me (a bogey golfer), but I've always enjoyed playing it nonetheless.  The staff is friendly, the restaurant is affordable and I highly recommend this fine course at the ""end of the road"".",Ewa Beach Golf Club
3660534,"Lunch with friends Very laid back, food is good and very reasonable. Extensive menu with pupus, burgers, wraps, salads, sailing, local comfort foods. Something for everyone.",Ewa Beach Golf Club
9764074,At The Capitol The statue is located between the Capitol Building and the Iolani Palace. This is  a full height statue and  when we were there it had leis placed on it.,Queen Liliuokalani Statue
9764074,Just a Statute It is a statute and that's about all there is to say.  Just happened on the statute because we were visiting the state capitol.  It is not worth a special trip.  There is no parking except on a nearby street.,Queen Liliuokalani Statue
9764074,"Our Queenʻs Statue If you have not been, please visit.  The statue is located between the Capitol and the Iolani Palace.  It was created by Marianna Pineda who was known for creating statues of strong women, which perfectly describes Queen Liliuokalani.  There are often Hawaiians and others at the statue giving reverence and honor to the Queen.  Please be respectful of their space and voice when visiting.",Queen Liliuokalani Statue
255184,"Lovely atmosphere - the real Honolulu We strolled here from Waikiki beach one evening and found it has such a nice relaxed atmosphere, much less crowded than Waikiki beach and more a place where locals gather rather than tourists - for family picnics and barbecues, jogging and yoga, and  live music - it was a really nice atmosphere in the park and beach with a nice sunset view.",Ala Moana Beach Park
255184,"Nice park, but too many flies This was a nice, not too-crowded park to walk through. The beach wasn't the greatest, but it seemed to do the trick for locals looking for a swim during lunch. We brought our lunch from Foodland here to eat, and while we appreciated the tables, the amount of flies were out of control. It made it really hard to focus on our food, as we were swatting flies away the entire time. We tried moving from picnic table to picnic table, and finally down to the beach to no avail.",Ala Moana Beach Park
255184,"Beautiful and not crowded We discovered this gem by accident and fell in love with it! There was minimal breeze, no waves, and plenty of space to ourselves. If you park in the parking lot, there is plenty of space. Take time to explore the park, which is only a few blocks from Waikiki beach and much less crowded. It was honestly our favorite beach we visited!",Ala Moana Beach Park
3573231,Took 1 HR to check in so get there early  Everything else was great. Kayaks had ropes and rear storage area. Location is perfect. No heavy lifting.,Kama'aina Kayak and Snorkel EcoVentures
3573231,"The best snorkeling trip We booked with this company because of the wonderful reviews and the opportunity to sail.   The reviews were all accurate.   Unfortunately, there was no wind but the owner called and offered to switch us out to a kayak trip if the wind did not come up by the time we arrived.   No wind-  but it did not matter because we had a fabulous experience with our guide  Kevin-  who towed us out to the reef and guided us around with the kayak.  He taught us about the reef and explained how the reef was formed where we should look safely look for fish and turtles.  I am a very cautious snorkeler and he could not have been nicer to me and more helpful and encouraging.  We were lucky with a very calm bay and witnessed hundreds of fish and five turtles.  We learned about the good work this non-profit does for the community and the bay.    We returned to a healthy lunch with a vegetarian option (we advised them ahead of time). I highly recommend this company not only for the tour and our delightful guide, but how easy they were about everything and this is a company that cares so much about the environment.  A learning experience and an adventure.",Kama'aina Kayak and Snorkel EcoVentures
3573231,Mr Great day out . Staff were very courteous and professional and seeing turtles was amazing as well as the beautiful corals and exotic fish.  Would definitely go again. Amazing,Kama'aina Kayak and Snorkel EcoVentures
12946698,"Excellent Public Courts There are not many hotels that offer free tennis court in Waikiki.  It's fortunate to have these courts located in the Ala Moana Park, right in the heart of Waikiki.  There are 10 free courts.  Parking is also free.  Because of its location and ""free"", these courts are often crowded. You should come early around 6-6:30 am to beat the heat and get the court.  These courts are well maintained and clean.  After playing, you can jump in the ocean to cool off.  Wow!",Ala Moana Tennis Court
12946698,無料テニスコート＆景色最高ﾋﾞｰﾁ＆シャワー＆ランチ 無料テニスコート＆景色最高ﾋﾞｰﾁ＆シャワー＆ランチ朝8時までにいけば大体コート開いています。テニスの後はﾋﾞｰﾁで海水浴、10時オープンのカカアコキッチンでテイクアウトで午前中から充実したハワイを楽しめます。,Ala Moana Tennis Court
2522682,"At the entrance to USS Missouri This is so worthwhile to take a few moments tp pay respects, to the ship that suffered the second highest number of casualties in the raid",USS Oklahoma Memorial
2522682,"Small  but nice Sitting just in front of the entrance to the USS Missouri on  Ford Island, this memorial doesn't have the beauty of the Arizona memorial, but it is moving nonetheless.  Each marker has the name of one of the 429 sailors who died in the attack, and the rows of them remind you of a cemetery.",USS Oklahoma Memorial
2522682,Nothing much to see A rather deteriorating memorial to the brave victims on the Oklahoma.  Glad it's there but nothing much to see,USS Oklahoma Memorial
7813141,"Hanauma Bay Snorkel. We had an amazing time snorkling with Dan at Hanauma Bay. Dan was great with the kids (5 & 9), especially the 9 year old who was very nervous. He was well set up and very professional. Would highly recommend this adventure.",Blue Hawaii Divers
7813141,"Great for First Timers I was really looking forward to going snorkeling for the first time. Unfortunately, I froze up when my face hit the water. It was no problem. I was ready to let the group go on without me, but they were so patient and kept working with me. Suddenly I was alongside everybody else and feeling more comfortable by the minute. The group size is kept small. The sights were incredible. Dan will ask you if you would like to rent a wetsuit. You are in the water for over an hour, so this was helpful as some in our group without one got cold. I highly recommend and left wanting to do it again.",Blue Hawaii Divers
7813141,"""Awesome snorkeling experience"" We highly recommend this hassle free guided snorkeling tour.  Our tour guide Dan was very friendly, professional, knowledgeable and helpful.  He ensured we all had a wonderful snorkeling experience at Hanauma Bay.  We swam with a sea turtle, moray eel and an array of tropical fish.  The masks, snorkels, fins and safety vests were in excellent condition.  Dan even captured some amazing photos for us.  Mahalo Dan!",Blue Hawaii Divers
275372,"Capitol building While near the Palace go and visit the Hawaii State Capitol building, a great piece of architecture and well worth a quick wander around and through the building open centre",Hawaii State Capitol
275372,"Once Located in Iolani Palace Hawaii’s capitol building is located near Iolani Palace and houses the offices of the governor and other state officials.  The building itself was designed with lots of open space to convey the government is an open one. Near the archives building on the palace grounds is a path that leads to the back of the capitol building.  In front is a statue of Father Damien, the Catholic priest who administered to the Hawaiians with leprosy.  At the back of the building is a statue of the Queen Liliuokalani who was the last sovereign monarch of the Hawaiian Kingdom. The building has eight columns which are intended to represent the eight Hawaiian islands.",Hawaii State Capitol
275372,"Outside visit I have visited many of the nations state Capitol buildings over the years so I appreciate how unique this building is. The arch iTU re is great and quite simple. The 2 chambers sitting on the ground floor with open space between them is unique too. When we visited it was a weekend so the building wasn’t open but the last I read, the building was remaining closed to the public (due to Covid restrictions) until further notice. Shame. Great to have seen it though, even if just from the outside.",Hawaii State Capitol
1759087,"Janice I am giving this a 5 star because this is the oldest golf course in Hawaii.  it has been there since 1898.  The fact that is has lasted for all these years, gives it heart.  Easy to get on and easy to make a tee time.  The people are friendly and the food at the restaurant is ONO ( Hawaiian for the best) .Course - yes only nine wholes but challenging and greens are very well maintained.  If you love golf and a little Hawaiian History then your need to check out this fun course.",Moanalua Golf Club
1759087,"Just a local SJ guy A 9 hole challenging and fun layout with crowned  greens. Shot making a premium. Parking lot is small and boarders the left side of the 9th fairway (risk of car or yourself getting dinged). No problem shop, just a check-in/starter window. Restaurant doesn't open till about 8:30 am (weekdays) earlier on weekends. Food is very tasty with good portions and price is very reasonable. Great local course with a layed backed atmosphere.",Moanalua Golf Club
1759087,"RESTAURANT - ONLY, a wonderful low-cost place to eat good food Stuck without a car or bike at an AIRBNB, the restaurant at the Moanalua Golf Club was the only place in walking distance.  The restaurant is a zero-atmosphere establishment with great food.",Moanalua Golf Club
561036,We Got Married Here! My husband and I were married on Magic Island. It was beautiful and such a nice location. We met friendly locals as well and were within close distance of everything in Waikiki still.,Magic Island
561036,"AMAZING Our favourite place in Waikiki. Great place to escape fromt eh hustle and bustle on the streets and in the resorts. Lovely swimming area for the entire family, with gorgous shaded areas to relax in the adjacent park. Bring your own food and drinks, or simple tottle over to the shopping mall across the street. Heaven.",Magic Island
561036,"Relaxing & Quiet I had some time to kill in between appointments and Magic Island was the closest park and beach.  The parking lot was quite empty on a weekday so parked quite close.I headed to the beach first.  Passed by the showers and restrooms.Sand was soft, beach was clean and water was warm.  It was relaxing to just people or boat watch and get my feet wet and sandy.Heading back to the park it was nice to have the palm trees proving shade which was good for picnics.  More walkers and some joggers passed by. My favorite place to visit when don’t have time to drive outside of town to go to a beach.",Magic Island
19735637,"Incredible experience! The hike to the top of diamond head is a moderate hike not too difficult there are a few steep stairs though. We loved it we got the early 7am so not too hot and it roughly took us and hour and a half, incredible views at the top and we enjoyed every minute of it please check this out when your in Oahu!",Diamond Head Crater Hike
19735637,"Breathtaking views The views from the top are absolutely breathtaking!  Definitely worth a visit.  The hike itself is not very difficult but there are a lot of stairs, so people with mobility issues should abstain.  There isn’t much shade so it gets very hot. Be sure to bring lots of water. It is very crowded at the top platforms which can hold about 20 or 30 people so definitely no social distancing there.  Highly recommend a visit!",Diamond Head Crater Hike
