location_id,text,name
4365680,"This was a surprise - everything was delicious - better than many highly rated restaurants We tried to get in to several other nearby locations - some were closed for special events or whatever.  You do not expect a department store restaurant to make you sit up and take notice, but the meal was outstanding.  The decor is a bit bland, but the staff were great - and again, the meal was delicious.  Mahi Mahi fish tacos - yummy.",Mermaid Bar
4365680,"Delicious Crab Louie This is one of the 3 restaurants inside Neman Marcus in Ala Moana popular and huge outdoor shopping center.Very sterile, very popular with the japanese communityDelicious crab louieI recomend it$$",Mermaid Bar
4365680,"Oxtail soup is so good.  My friends recommended to me to go there on Thursday because they serve daily lunch special and every Thursday have Oxtail soup.Very big potion, tasty and beautiful decoration but only $16!   Sitting at counter will give you nice sky view.  The place locates second floor of Niemann Marcus.  Very popular for local so please visit 11:00.  Please enjoy nutritious meal at the bar.",Mermaid Bar
23846621,"Just out alone looking for who knows what and... ...for some reason with no intention I stopped here for some take-out.  I ordered a personal-size pizza (I think that's all they make) which I thought was a bit small but still tasty and fresh.  I'm pretty sure they make their own dough but it was a little bit too chewy for me.  I should have ordered it well-done like I usually order pizza.  And I had the Quattro Formaggi Pizza which is all cheese as you would imagine. It had some kind of blue cheese on it which really didn't excite me but still good. You know, even though the pizza was a bit on the small size, and I wish I would've ordered something different, I still want to come back and try this place again.  I guess I sense some kind of good vibe here.",Allegrini Mozzarella
4497962,"Cheap and Average, But Quick Cheap and average traditonal/viet styled fast food sandwich shop, service was ncioe and freindly.  Ok for quick bite but not something to relish.",Ba Le Sandwich Shop
4497962,"Vegetarian Sandwich  Very good their vegetarian sandwich. Comes with French bread slightly buttered with mayo, julienne carrots and pickled daikon and Chinese parsley if you want. Delicious and reasonably priced. Cut in half, it's enough for two people.",Ba Le Sandwich Shop
14803102,Away from the crowds Came here for breakfast. It’s bright and cheery inside. The Food was good and service was quick. Would definitely come back again.,Cafe Morey's
14803102,Great local spot.   Breakfast or Lunch Some of the best food in a really cool local cafe.  The breakfast is amazing.  Absolute delicious. Big portions served with a smile,Cafe Morey's
14803102,"A Great Dining Spot Near Diamond Head We recently dined at Cafe Morey's and found the service to be wonderful and food to be absolutely delicious!  The fried rice (with a variety of sides to choose from), French toast and Barbecue Short Ribs plate were all so yummy!  Located on Monsarrat Avenue, this is another great local spot where you can grab a meal after a nice Diamond Head hike!  We will be returning to try more of their entrees!They have a nice inside seating area with open windows :)",Cafe Morey's
2460894,"Taste of Thai In Manoa Valley, on East Manoa Road, just past the marketplace, you will find Bangkok Chef. It is one of several restaurants by the same owner in Honolulu. The food is delicious, the staff is friendly,  and they offer sit down and take out dishes. What's important to me is their on-line presence - the menu is so easy to find and read. One of my favorites dishes, which I have not found it at other Thai restaurants, is their Mango Salad. It's one of the reasons I keep returning. Their Pad Thai, Crispy Noodles, curries are tasty and sizable portions and while I always try other dishes, which are all good, I always seem to come back to ordering these. You can order the dish or ask for it ala carte - one comes with rice and the other without rice. If I have rice at home, ala carte means more tasty food.",Bangkok Chef
2460894,"Pricey for so-so everything. So-so service, portions, taste and ambiance.   Not a good value. Also, hard to find parking spot during lunch.",Bangkok Chef
2460894,Inedible Just don't eat here. It is gross. The summer rolls have no taste and the peanut sauce tastes just like peanut butter with no modification. The lemongrass chicken did not actually seem much like chicken and made one in our party violently ill afterward. What they call eggplant turns out to be zucchini. I can think of nothing that would make me ever eat here again.,Bangkok Chef
539196,The Korean food is really good!!! I really enjoy the food here!  There's enough choices to choose from!  Lots of parking and the wait is not very long.Sure beats the prices of those 'all you can eat' restaurants.Order the Meat Jun and Spicy Pork combo with your choice of veggies.,Sam's Delicatessen
539196,"A bit disappointing  We were staying nearby, and this place was recommended by our hosts, but the food was average at best -- the chicken katsu was a little overcooked and kind of dry -- and more expensive than we had anticipated. We decided what to order based on a menu that must have been *very* old, because the 2-piece side order of chicken katsu had gone from $5.50 to $8.75.",Sam's Delicatessen
539196,"Good Tasting/Generous Portions Korean Food Sam's is one of my usual places for Take out on the way home to Nuuanu.  Its been here for a very long time and I highly recommend calling ahead your order so that you dont need to wait during the lunch/dinner crowd.  This is also the perfect place to order Bento's from (3 order min) for the beach or a picnic.   For Work functions if you spend 75$ or more they will deliver Down town so that's very convenient.  I usually get a mini Barbeque chicken plate which is a generous portion and my boyfriend usually orders the Kal Bi plate $10.95 which is 3 pieces of boneless kalbi.  This is cheap as other places will charge $20 for a Kalbi dinner plate.  They are also known for their Mochiko Chicken which is very good as well.  For $1.20 extra you can get 4 pieces of Mandoo although its not huge mandoo that's a pretty good deal.  IF You order No Rice you will get an extra portion of vegetables.  Parking is located right in front or in the back of the building.  This is NOT a place to eat in, its definitely a hole in the wall but pretty good tasting food and convenient to pick up.  The lady that takes the order is not the friendliest of sorts but is efficient, so speak clearly when placing your order.  Aloha!",Sam's Delicatessen
15863124,"Island Bread If you are in the island, try finding this truck for a onolicious bread with filling of your choice.  Better know Molokai Hot Bread.  I loved the cinnamon cream cheese and blueberry cream cheese.  Check out there website for location daily.   Open at 1pm till they run out.  Excellent for supporting locally own business.  My friend recommended me this truck bread and sure I did like it.  I live in town and drove all the way to Windward Mall where they were and worth of the drive.  Price is reasonable.",Molokai Hot Bread
4557121,"Great Pie  We stayed just across the road during our first time on Oahu & managed to eat here twice in the first few days. We ordered the Extravaganza, the Hawaiian & the Barbecue Chicken. 8 in our crew & everyone thoroughly enjoyed it. Service was fast & efficient as well. We shall return should the opportunity present itself.",Domino's Pizza
8180166,"Convenient stop at Aviation Museum Located inside the Aviation Museum on Fort Island, this is a convenient lunch stop. Air conditioned with adequate seating, order and pay at the counter. Most items on the menu are oversold by description and final product is underwhelming - the hot dog was very average as was the burger. The US takes claim of “fries” yet they are consistently bad.",Laniakea Cafe at Pearl Harbor Aviation Museum
8180166,"Good Grinds The Laniakea’ Café in the Pearl Harbor Aviation Museum, is the only sit-down inside eating option, during your visit to Ford Island. If you have toured the other various sites within the National Park area, you might be getting rather hungry. If it is also particularly hot on the day you visit, this air-conditioned café, will be an enjoyable respite from the heat. After spending a few hours at park, the boat ride to the memorial, touring the grounds, and both historical indoor exhibits, it was time to visit Ford Island. When we got to the aviation museum, we decided to eat first. An admission ticket is not required for this, nor the gift shop. The menu had more selections this visit, prices weren’t ridiculous, the food was prepared quickly, and it tasted just fine! Granted, the place was not crowded, it was clean, and you have to like it’s 1940’s kitschy island décor. We ordered a variety of items, burgers, hotdogs, pulled pork, fries, chips, sodas, all good. Refreshed, our day continued. If you are eating here later in the day, they often stop serving food closer to closing. Since this is the last stop on the bus route, be mindful when planning a big day. Mahalo",Laniakea Cafe at Pearl Harbor Aviation Museum
8180166,"Disappointed  Having read the reviews and had the cafe advertised on our tour bus, we were underwhelmed by the cafe in general. Three lights were on, making it very dark, as it’s inside the hanger. The staff weren’t friendly or helpful, pushing us to order quickly. They then shut the cooked food part of the cafe at 14:50 when it’s supposed to be open until 16:00 - there was no notice outside to notify visitors of this so multiple people kept coming in asking to be served. They were cleaning around us, making us feel like an inconvenience. The only positive, for giving it 2 star is the food! The fries were fantastic and the toastie and hotdog were done well, however the Caesar salad was very dry. You’re a bit trapped, as you can’t bring bags with you so can’t bring your own food.",Laniakea Cafe at Pearl Harbor Aviation Museum
4369065,"Yummy Had an awesome lunch while shopping , I was served fast and the food was great. They were very helpful and answered my questions.",Panda Express
