tripadvisor_id,name,thumbnail,longitude,latitude,city,state,country,address,price,currency_code,estimated_time,subcategory,rating,popularity,detail_url,product_website,weekday_hours,neighbors
4766996,Koto City Ariake Sports Center,,139.808,35.652416,tokyo,Ariake,Asia/Tokyo,"2-3-5, Ariake, Koto 135-0063 Tokyo Prefecture",,JPY,2,"[{'name': 'fun_games', 'localized_name': 'Fun & Games'}, {'name': 'activities', 'localized_name': 'Activities'}]",3.5,23,https://www.tripadvisor.com/Attraction_Review-g14134362-d4766996-Reviews-Koto_City_Ariake_Sports_Center-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://www.koto-hsc.or.jp/sports_center4/,,[]
8281134,Daisan Tamanoyu,,139.73827,35.702927,tokyo,Shinjuku,Asia/Tokyo,"1-4 Shiroganecho, Shinjuku 162-0816 Tokyo Prefecture",,JPY,2,"[{'name': 'wellness_spas', 'localized_name': 'Spas & Wellness'}, {'name': 'activities', 'localized_name': 'Activities'}]",3.5,9,https://www.tripadvisor.com/Attraction_Review-g1066457-d8281134-Reviews-Daisan_Tamanoyu-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,,,['7278769']
9466374,Haneda Tokyo International Airport Terminal2  Power Lounge Central,,139.78738,35.5522,tokyo,Ota,Asia/Tokyo,"3-4-2 Hanedakuko Tokyo International Airport Terminal2 3F, Ota 144-0041 Tokyo Prefecture",,JPY,2,"[{'name': 'traveler_resources', 'localized_name': 'Traveler Resources'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",4.0,271,https://www.tripadvisor.com/Attraction_Review-g1066454-d9466374-Reviews-Haneda_Tokyo_International_Airport_Terminal2_Power_Lounge_Central-Ota_Tokyo_Toky.html?m=66827,http://www.tokyo-airport-bldg.co.jp/airport_lounge/,"['Monday: 06:00 - 21:30', 'Tuesday: 06:00 - 21:30', 'Wednesday: 06:00 - 21:30', 'Thursday: 06:00 - 21:30', 'Friday: 06:00 - 21:30', 'Saturday: 06:00 - 21:30', 'Sunday: 06:00 - 21:30']",['7278774']
16882090,Jonanjima Futo Park,,139.7728,35.57908,tokyo,Ota,Asia/Tokyo,"2 Jonanjima, Ota 143-0002 Tokyo Prefecture",,JPY,2,"[{'name': 'fun_games', 'localized_name': 'Fun & Games'}, {'name': 'nature_parks', 'localized_name': 'Nature & Parks'}, {'name': 'attractions', 'localized_name': 'Attractions'}, {'name': 'activities', 'localized_name': 'Activities'}]",3.0,2,https://www.tripadvisor.com/Attraction_Review-g1066454-d16882090-Reviews-Jonanjima_Futo_Park-Ota_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://seaside-park.jp/otherpark/#otherP06,,['7278774']
8746815,Cooking Home Tokyo,,139.79613,35.654545,tokyo,Toyosu,Asia/Tokyo,"Toyosu, Koto 135-0061 Tokyo Prefecture",,JPY,2,"[{'name': 'food_drink', 'localized_name': 'Food & Drink'}, {'name': 'classes', 'localized_name': 'Classes & Workshops'}, {'name': 'activities', 'localized_name': 'Activities'}]",5.0,5,https://www.tripadvisor.com/Attraction_Review-g14134359-d8746815-Reviews-Cooking_Home_Tokyo-Toyosu_Koto_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,,,[]
11875233,Hamakawa Gun Battery,,139.74095,35.59789,tokyo,Shinagawa,Asia/Tokyo,"2-27-24 Higashioi, Shinagawa 140-0011 Tokyo Prefecture",,JPY,2,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",3.5,14,https://www.tripadvisor.com/Attraction_Review-g1066854-d11875233-Reviews-Hamakawa_Gun_Battery-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,,,['7278774']
15661865,Kotoshin Bridge,,139.83583,35.702984,tokyo,Kameido,Asia/Tokyo,"8, Kameido, Koto 136-0071 Tokyo Prefecture",,JPY,2,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",3.5,4,https://www.tripadvisor.com/Attraction_Review-g14134355-d15661865-Reviews-Kotoshin_Bridge-Kameido_Koto_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,,,[]
13014705,Gallery Taka,,139.93594,35.70392,tokyo,Ichikawa,Asia/Tokyo,"4-9-16 Tajiri, Ichikawa 272-0014 Chiba Prefecture",,JPY,2,"[{'name': 'shopping', 'localized_name': 'Shopping'}, {'name': 'museums', 'localized_name': 'Museums'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",,0,https://www.tripadvisor.com/Attraction_Review-g1021146-d13014705-Reviews-Gallery_Taka-Ichikawa_Chiba_Prefecture_Kanto.html?m=66827,,,[]
12279830,Loople,,139.73695,35.65313,tokyo,Azabujuban,Asia/Tokyo,"4-6-8 Nissin Bldg 5F, Azabujuban, Minato 106-0045 Tokyo Prefecture",,JPY,2,"[{'name': 'wellness_spas', 'localized_name': 'Spas & Wellness'}, {'name': 'activities', 'localized_name': 'Activities'}]",5.0,20,https://www.tripadvisor.com/Attraction_Review-g14129734-d12279830-Reviews-Loople-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://www.loople.jp/,"['Monday: 10:00 - 19:00', 'Tuesday: 10:00 - 19:00', 'Wednesday: 10:00 - 19:00', 'Thursday: 10:00 - 19:00', 'Friday: 10:00 - 19:00', 'Saturday: 10:00 - 19:00', 'Sunday: 10:00 - 19:00']",['7278767']
19093715,Toyomi Osakana Museum,,139.76982,35.653496,tokyo,Chuo,Asia/Tokyo,"5-1 Toyomicho Toyomi Center Bldg. 2F, Chuo 104-0055 Tokyo Prefecture",,JPY,2,"[{'name': 'museums', 'localized_name': 'Museums'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",3.0,1,https://www.tripadvisor.com/Attraction_Review-g1066444-d19093715-Reviews-Toyomi_Osakana_Museum-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,http://www.suisan-shinkou.or.jp/museum/,,['7278765']
