,location_id,text,name
0,4766996,"Big Pool Big swimming pool in a nice facility, a bit far from everything and difficult to access.  This place most like will be used during the 2020 olympic games in Tokyo",Koto City Ariake Sports Center
1,4766996,スタッフの対応が親切丁寧 ゆりかもめ有明テニスの森駅と台場の中間にある江東区のスポーツ施設。プールとトレーニングの設備があり、1回400円、定期4000円、ロッカー10円、無料シャワーあり。マシンは4月にリニューアルされて最新に。平日昼は空いています。マシンも待ち時間なしで利用可能。スタッフの対応がとても丁寧親切で、不快感がありません。駐車場もあります。,Koto City Ariake Sports Center
2,4766996,広いので目的の場所間違えないように。。 二つの棟からなり、それぞれ大きいので、目的の場所間違えると移動が大変です。少々経年変化も見られますが、おおむね設備の状態は良く、料金考えるとお得な施設と思います。,Koto City Ariake Sports Center
3,8281134,常連年配方のマナー違反 風呂、サウナは最高！細かいところまで洗浴され綺麗！ただ常連客と思われる年配方のマナーは超最悪！洗い場での家から持ち込んだシャンプーやタオルで場所取り、泡が付いたままの入浴、汗を流さずに水風呂、洗い場が泡だらけ、大声での会話‥‥自由に入りたければ家の風呂入れ！皆、広いお風呂、サウナ目当てで来ているのに一部の常連年配方のマナー違反が目に付きます。この投稿は常連年配方には届かないと思いますので、店側の対応に期待したいです。先日、このような場面を目撃しました。タオルが黄色の洗面器に入っている洗い場に座った青年に対し、年配方が「ここ俺の場所なんだけど」‥‥？青年も「場所取りなんてあるんですか？」不思議そうに尋ねていました。皆、スッキリしたくて来ているのに、見ているこっちも気分が悪くなりました。常連の年配方に分かりやすく説明や大きな『場所取り禁止』表示が必要だと感じる出来事でした。,Daisan Tamanoyu
4,8281134,サウナ&露天風呂付き銭湯 新しくてきれい。 サウナも、銭湯にしては広くてきれい。水風呂が22度くらいでぬるめなので、いつまでも入っていられそう。 銭湯なのに、露天風呂があるのが嬉しい。 フルマラソン後で、サウナに加えて、ジェットバスや炭酸湯もあって、疲れがとれた。 この日は行ってないけど、サ飯は飯田橋のカリービトのカレーがおすすめ。,Daisan Tamanoyu
5,8281134,皇居ランステ利用 皇居ＲＵＮの際のランステとして利用しました。フロントで声をかけると脱衣所で着替えをさせてくれます。ランニングの後入浴して帰ることができ銭湯価格なので経済的。ジェットバスや電気？（ビリビリする）お湯など種類が多くランニング後にはいいかとおみますが、皇居の周回をするには少し距離があったように感じます。冬以外は散歩がてら歩いてもいいですが、さすがに冬は寒いですね。,Daisan Tamanoyu
6,9466374,"Poor customer service I stopped by ANA lounge at Haneda airport in December ‘21, using my priority pass membership. I was looking forward to showering and freshen up after my 11 hours flight. There was a waiting time to use the shower, so I grabbed some snacks, tea, and coffee. Half way through my snacks my shower turn was up. Since I still have 3 small pieces of the mini size snacks left, I stuffed them in my bag pack because I didn’t want to waste it. As I got out of the shower, I was stopped by the lounge attendant and ask to take out the 3 tiny pieces of snacks from my bag pack. Wow! Really? I am not allowed to take 3 tiny pieces of leftover snacks to continue eating at the gate? This is absolutely ridiculous! I dump the snacks on the counter and left. They will have to throw them out anyway, and it is not like I am taking a bunch. I hardly ate anything that time. This makes me cringe. I don’t want to fly ANA or use the lounge again in the future.",Haneda Tokyo International Airport Terminal2  Power Lounge Central
7,9466374,"Qantas business class lounge fail. Haneda airport us a beautiful modern user friendly airport - the Qantas business class lounge is the opposite. A selection of 3 or so plastic wrapped food offerings, a couple of service station style drink machines and tired old decor, all makes for a pretty sad experience.Shame on you Qantas for putting your premium passengers into this depressing space.",Haneda Tokyo International Airport Terminal2  Power Lounge Central
8,9466374,"Not a lounge as we know it Haneda airport is outstanding in almost every way, which it needs to be to manage one of the highest throughputs of passengers in the world with composure, efficiency and a touch of class. Sadly this ends at the Sky Lounge. Whether your credit card gains access or you pay to enter on the assumption that it will live up to minimal lounge standards by any other benchmark, well it simply doesn’t. Just over ¥1000 gets very little other than perhaps a seat and a soft drink - a cold one because the coffee machine was broken when I visited. No food was available apart from a selection of 2 dishes at a surcharge, neither of which could be viewed. Staff are adamant that food and drink cannot be brought in, but with none readily available inside, you might just consider whether it’s worthwhile being there at all.",Haneda Tokyo International Airport Terminal2  Power Lounge Central
9,16882090,特には 東京湾の風を感じられうような気がする距離。東京湾道沿いではないが割と近い。軽く息抜きするには良い場所。,Jonanjima Futo Park
