bookings_id,name,thumbnail,subcategory,city,longitude,latitude,address,district,price,currency_code,rating,popularity,detail_url
245830,Hotel Sunroute Plaza Shinjuku,https://cf.bstatic.com/xdata/images/hotel/square60/6352184.jpg?k=75d56330a5f2224a142c9b204a8dcce10b7244ac5cbd001d526ce3b09d9d3dee&o=,Hotel,Tokyo,139.699101448059,35.6871193542278,"Shibuya-ku, Yoyogi 2-3-1",Shibuya Ward,9256.8,JPY,8.3,5338.0,https://www.booking.com/hotel/jp/sunroute-plaza-shinjuku.html
2890810,MIMARU TOKYO AKASAKA,https://cf.bstatic.com/xdata/images/hotel/square60/224163660.jpg?k=c457f0792cc943800568c6fad88153b8dabed1d59fba4df139c75d3086a7acd5&o=,Hotel,Tokyo,139.733046064668,35.6699270970076,Minato-ku Aakasaka 7-9-6,Minato,16720.0,JPY,9.0,347.0,https://www.booking.com/hotel/jp/mimaru-tokyo-akasaka.html
914003,JR Kyushu Hotel Blossom Shinjuku,https://cf.bstatic.com/xdata/images/hotel/square60/291001561.jpg?k=b51aff7fd9622aeb5bc0847191b95410fe7ac273752f4760670710dcdbdc7ca5&o=,Hotel,Tokyo,139.698392003775,35.6877858150823,Shibuya-ku Yoyogi 2-6-2,Shibuya Ward,15475.5,JPY,8.7,1417.0,https://www.booking.com/hotel/jp/jr-kyushu-blossom-shinjuku.html
3379176,MIMARU TOKYO UENO EAST,https://cf.bstatic.com/xdata/images/hotel/square60/161428745.jpg?k=afb4b0fc9db2938b4639e4841776d1487d0d64f7d5b4b9c75f1bafcdb12a58ee&o=,Hotel,Tokyo,139.780120536037,35.7146380772673,Taito-ku Higashiueno 4-26-3,Taito,15152.5,JPY,8.9,339.0,https://www.booking.com/hotel/jp/mimaru-tokyo-ueno-east.html
2707868,Hotel Musse Ginza Meitetsu,https://cf.bstatic.com/xdata/images/hotel/square60/133483971.jpg?k=41e98e51935af34d5dcc6d4db2a07d509dd3ad7482a5386f563f710447ccfc9d&o=,Hotel,Tokyo,139.763598394135,35.6677909963004,Chuo-ku Ginza 7-12-9,Chuo Ward,9756.5,JPY,8.6,1094.0,https://www.booking.com/hotel/jp/hoterumiyutuseyin-zuo-ming-tie.html
5603463,MIMARU TOKYO SHINJUKU WEST,https://cf.bstatic.com/xdata/images/hotel/square60/250149273.jpg?k=61b592b7f310dc926c6afc7e2d71e486b9d0e299be6d4daa72eeb5fb4235acec&o=,Hotel,Tokyo,139.693037595245,35.6859160014682,"Shinjuku-ku, Nishi-Shinjuku 3-3-11",Shinjuku Ward,17765.0,JPY,8.9,55.0,https://www.booking.com/hotel/jp/mimaru-tokyo-shinjuku-west.html
5136503,MIMARU TOKYO UENO OKACHIMACHI,https://cf.bstatic.com/xdata/images/hotel/square60/245132440.jpg?k=ef8f983e2773dedd7ccb942d345acea9282afc648c128c53d5ecf5899fcd4552&o=,Hotel,Tokyo,139.771621322754,35.7066015587769,Taito-ku Ueno 1-chome,Taito,16720.0,JPY,9.3,52.0,https://www.booking.com/hotel/jp/mimaru-tokyo-ueno-okachimachi.html
1084571,The Royal Park Hotel Tokyo Haneda,https://cf.bstatic.com/xdata/images/hotel/square60/373444180.jpg?k=7758dbc183eb991734111b8e92bcdfa5253c1e2cec1a6cdcfa420f88d6045c6a&o=,Hotel,Tokyo,139.767928272486,35.5465520482057,Ota-ku Haneda Airport 2-6-5,Ota Ward,13727.88,JPY,8.4,4544.0,https://www.booking.com/hotel/jp/royal-park-the-haneda.html
5839107,Mitsui Garden Hotel Toyosu BAYSIDE CROSS Tokyo,https://cf.bstatic.com/xdata/images/hotel/square60/291267242.jpg?k=da3c09e2c38969702c3e8ea9839afd27436492f3beda43f50309773880209b81&o=,Hotel,Tokyo,139.794599321773,35.6547475769814,"Koto-ku, Toyosu 2-2-1",Koto Ward,14858.0,JPY,9.1,1824.0,https://www.booking.com/hotel/jp/mitsui-garden-toyosu-bayside-cross-tokyo.html
3844861,the square hotel GINZA,https://cf.bstatic.com/xdata/images/hotel/square60/173536051.jpg?k=aefc58529eebf52568bb7558444b60a9767c72e4cb06e3e16cd0ab1a1b8eed05&o=,Hotel,Tokyo,139.769161,35.672261,Chuo-ku Ginza 2-11-6 ,Chuo Ward,8464.5,JPY,8.6,3385.0,https://www.booking.com/hotel/jp/the-square-ginza.html
3380553,MIMARU TOKYO UENO INARICHO,https://cf.bstatic.com/xdata/images/hotel/square60/178360892.jpg?k=1c88d5680aea68a557f67e16ea100a02e63305a6580e54741d433bfbe7b90d05&o=,Hotel,Tokyo,139.782287,35.71304,Taito-ku Higashiueno 5-8-2,Taito,14630.0,JPY,9.0,268.0,https://www.booking.com/hotel/jp/mimaru-tokyo-inaricho-dong-jing-du.html
250231,Akasaka Excel Hotel Tokyu,https://cf.bstatic.com/xdata/images/hotel/square60/250935583.jpg?k=d39be3c5af35d7edf748f256f2b1b2823df228480ab9f8233d82c14bb7aa7ec1&o=,Hotel,Tokyo,139.737344384193,35.6772238592808,"Chiyoda-ku, Nagatacho 2-14-3",Minato,11400.0,JPY,8.2,700.0,https://www.booking.com/hotel/jp/akasaka-excel-tokyu.html
