,cons_translated,languagecode,user_new_badges,helpful_vote_count,is_incentivised,reviewng,is_trivial,hotel_id,average_score,countrycode,cons,date,review_id,stayed_room_info,pros,is_moderated,title,anonymous,title_translated,review_hash,pros_translated,author,tags,travel_purpose
0,,en-gb,[],0,0,1,0,245830,3.20000004768372,jp,"The room was quite small, and the bed wasn't particularly comfy.",2022-07-05 04:56:54,4588373119,"{'checkin': '2022-06-27', 'checkout': '2022-07-01', 'photo': {'photo_id': 40141804, 'ratio': 1.50243902439024, 'url_original': 'https://cf.bstatic.com/images/hotel/max500/401/40141804.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/401/40141804.jpg', 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/401/40141804.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/401/40141804.jpg'}, 'room_id': 24583006, 'room_name': 'Economy Double Room - Non-Smoking'}","The staff were very friendly, and helped me print important documentation for my onward travel. Room itself was also well equipped.",0,Good!,,,fdac70a776dd4999,,"{'city': '', 'countrycode': 'jp', 'type': 'solo_traveller', 'helpful_vote_count': 0, 'type_string': 'Solo traveller', 'age_group': '', 'user_id': 497565606, 'nr_reviews': 0, 'name': 'Alex'}",[],business
1,,en-us,[],0,0,1,0,245830,3.59999990463257,nl,"Rooms are a bit too small, but still good value for money. I would have loved to have a good breakfast option at the lobby.",2022-06-29 14:11:30,3743159399,"{'room_name': 'Standard Queen Room - Non-Smoking', 'photo': {'url_max300': 'https://cf.bstatic.com/images/hotel/max300/401/40141671.jpg', 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/401/40141671.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/401/40141671.jpg', 'photo_id': 40141671, 'url_original': 'https://cf.bstatic.com/images/hotel/max500/401/40141671.jpg', 'ratio': 1.50243902439024}, 'checkout': '2022-06-29', 'checkin': '2022-06-28', 'room_id': 24583007}","This is a fantastic hotel. Although the rooms are tiny, they have all the amenities you need at the lobby. 

The staff keeps the rooms impeccable, and they are very polite and welcoming. 

A huge plus: the hotel is 3 mins away from Shinjuku station so you can get to your clients very easily.",0,A great Tokyo gem 💎 q,,,0a000040c2fc9ed4,,"{'countrycode': 'nl', 'city': '', 'helpful_vote_count': 0, 'type': 'solo_traveller', 'type_string': 'Solo traveller', 'user_id': 259331139, 'age_group': '', 'avatar': 'https://graph.facebook.com/v2.9/10160768206080414/picture?type=square&height=64&width=64', 'name': 'Juan', 'nr_reviews': 0}",[],business
2,,en-gb,[],0,0,1,0,245830,3.20000004768372,ch,-,2022-06-25 21:04:32,3488088576,"{'room_id': 24583006, 'checkout': '2022-06-25', 'checkin': '2022-06-18', 'photo': {'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/401/40141804.jpg', 'photo_id': 40141804, 'ratio': 1.50243902439024, 'url_original': 'https://cf.bstatic.com/images/hotel/max500/401/40141804.jpg', 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/401/40141804.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/401/40141804.jpg'}, 'room_name': 'Economy Double Room - Non-Smoking'}","Location is incredible in terms of public transportation, restaurants, entertainment 
.. everything you may want is either there or can be easily reached .

Price quality is perfect with all services needed, but so not expect a big fancy room (which is totally understandable given the price)...",0,Very good value for money,,,0818b510bb4c8d01,,"{'nr_reviews': 0, 'name': 'Aego', 'avatar': 'https://lh5.googleusercontent.com/--DIG7uZnNgk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclOqFwlB0rmFxa_HPKfXgY18u-o0w/s96-c/photo.jpg64', 'age_group': '', 'user_id': 25817562, 'type_string': 'Solo traveller', 'type': 'solo_traveller', 'helpful_vote_count': 0, 'city': '', 'countrycode': 'ch'}",[],business
3,,en-gb,[],1,0,1,0,245830,2.79999995231628,gb,,2022-06-15 14:01:43,2276112728,"{'photo': {'url_max300': 'https://cf.bstatic.com/images/hotel/max300/401/40141804.jpg', 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/401/40141804.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/401/40141804.jpg', 'ratio': 1.50243902439024, 'url_original': 'https://cf.bstatic.com/images/hotel/max500/401/40141804.jpg', 'photo_id': 40141804}, 'checkout': '2022-06-15', 'checkin': '2022-06-12', 'room_id': 24583006, 'room_name': 'Economy Double Room - Non-Smoking'}","excellent location, very nice rooms",0,"nice hotel, very close to the heart of Tokyo",,,f8e58c7dd0b41eaf,,"{'type_string': 'Solo traveller', 'type': 'solo_traveller', 'helpful_vote_count': 1, 'city': '', 'countrycode': 'gb', 'nr_reviews': 0, 'avatar': 'https://lh3.googleusercontent.com/a-/AOh14Gj_9-9S71DtAM5zAN2L9qSjnR3imGXLqAnixreujA=s96-c64', 'name': 'Hannah', 'age_group': '', 'user_id': 327360774}",[],leisure
4,,en-us,[],0,0,1,0,245830,3.20000004768372,jp,"it could be much better if there is a small side table
and a slippers can be used inside the toilet.",2022-06-07 14:39:54,4585011435,"{'room_name': 'Economy Double Room - Non-Smoking', 'checkin': '2022-06-06', 'checkout': '2022-06-07', 'room_id': 24583006, 'photo': {'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/401/40141804.jpg', 'photo_id': 40141804, 'url_original': 'https://cf.bstatic.com/images/hotel/max500/401/40141804.jpg', 'ratio': 1.50243902439024, 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/401/40141804.jpg', 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/401/40141804.jpg'}}","near from the station and a clean fascility, a lot of restaurants nearby👍",0,Very good,,,2efbb2b95e2f4ea3,,"{'nr_reviews': 0, 'name': 'Anna', 'age_group': '', 'user_id': 437665509, 'helpful_vote_count': 0, 'type': 'review_category_group_of_friends', 'type_string': 'Group of friends', 'city': '', 'countrycode': 'jp'}",[],leisure
5,,en-us,[],0,0,1,0,245830,3.59999990463257,us,"Soap and bath liquids have an odd smell.
Room is slightly cramped.
Lights go out/on when card key is inserted in holder, disturbing other person in room.",2022-06-02 13:17:01,3445072807,"{'photo': {'url_square60': 'https://cf.bstatic.com/images/hotel/square60/401/40141804.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/401/40141804.jpg', 'photo_id': 40141804, 'ratio': 1.50243902439024, 'url_original': 'https://cf.bstatic.com/images/hotel/max500/401/40141804.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/401/40141804.jpg'}, 'checkout': '2022-05-25', 'checkin': '2022-05-18', 'room_id': 24583006, 'room_name': 'Economy Double Room - Non-Smoking'}","Courteous and helpful staff
Comfortable, quiet room with excellent air conditioning 
Good desk & chair for working, fast wifi",0,"This hotel is a bargain for the location, comfort, and overall quality of experience.",,,147d876135af084c,,"{'nr_reviews': 0, 'name': 'Alan', 'age_group': '', 'user_id': 251826310, 'type_string': 'Solo traveller', 'helpful_vote_count': 0, 'type': 'solo_traveller', 'city': '', 'countrycode': 'us'}",[],leisure
6,,en-gb,[],0,0,1,0,245830,3.20000004768372,jp,There were some scuffs and damages visible along the walls and furniture of the room. It looked a little rough. I was hoping that the staff were aware of these damages as they were incredibly noticable. I was a little anxious thinking I'd be charged for them.,2022-05-29 14:30:31,4583863954,"{'photo': {'photo_id': 279548932, 'url_original': 'https://cf.bstatic.com/images/hotel/max500/279/279548932.jpg', 'ratio': 1.50243902439024, 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/279/279548932.jpg', 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/279/279548932.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/279/279548932.jpg'}, 'checkout': '2022-05-29', 'checkin': '2022-05-25', 'room_id': 24583044, 'room_name': 'Standard Single Room - Non-Smoking'}",The room was the perfect size for one person and in such a wonderful location for the price I paid.,0,Great location for a great price!,,,ddb373db34bcee09,,"{'helpful_vote_count': 0, 'type': 'solo_traveller', 'type_string': 'Solo traveller', 'countrycode': 'jp', 'city': '', 'avatar': 'https://lh3.googleusercontent.com/a-/AOh14GgCm9E9qJozLmow8NevzA6fpLBkzx49y9sPZcxkcOk=s96-c64', 'name': 'Kelsey', 'nr_reviews': 0, 'user_id': 581458542, 'age_group': ''}",[],business
7,,en-gb,[],2,0,1,0,245830,3.20000004768372,sg,The breakfast spread is quite limited. There isn't much choices from the breakfast spread. Perhaps it was during Covid period and the occupancy might not be so high and so the spread is also limited due to this.,2022-05-27 05:08:26,4583644069,"{'room_name': 'Economy Double Room - Non-Smoking', 'photo': {'url_max300': 'https://cf.bstatic.com/images/hotel/max300/401/40141804.jpg', 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/401/40141804.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/401/40141804.jpg', 'photo_id': 40141804, 'ratio': 1.50243902439024, 'url_original': 'https://cf.bstatic.com/images/hotel/max500/401/40141804.jpg'}, 'checkout': '2022-05-22', 'checkin': '2022-05-20', 'room_id': 24583006}","Hotel Sunroute Plaza Shinjuku is located in a very convenient location. It is just 3-5 minutes walk away from Shinjuku long distance bus station and train station. Plenty of transport connection to Haneda, Narita and other parts of Japan. There are also a lot of good restaurant and food outlets available here.

The airport limosine bus stops at this hotel as well (certain allocated time) which is convenient if you are catching the limosine buses from the airports.",0,Overall happy with the hotel stay and would probably book without breakfast next time,,,0858be98cf495fba,,"{'city': '', 'countrycode': 'sg', 'type_string': 'Solo traveller', 'type': 'solo_traveller', 'helpful_vote_count': 2, 'age_group': '', 'user_id': 5200891, 'nr_reviews': 0, 'name': 'Bentinck'}",[],business
8,,en-gb,[],0,0,1,0,245830,2.79999995231628,sg,Breakfast starts too late at 7am instead of 6am. Got to leave the hotel on an early bus to Haneda to catch a 9.05am flight and was not able to have my breakfast even though I have paid for it. Was asking if I can have the breakfast earlier and was told that not possible.,2022-05-15 14:36:04,4582405131,"{'room_id': 24583006, 'checkout': '2022-05-15', 'checkin': '2022-05-14', 'photo': {'ratio': 1.50243902439024, 'url_original': 'https://cf.bstatic.com/images/hotel/max500/401/40141804.jpg', 'photo_id': 40141804, 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/401/40141804.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/401/40141804.jpg', 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/401/40141804.jpg'}, 'room_name': 'Economy Double Room - Non-Smoking'}",The location is very convenient as it is just 5 minutes walk from Shinjuku Station. The bus station is less that 5 mins away.,0,Overall it was good value for money as it is in a very convenient location.,,,eea0690e3d92f60a,,"{'nr_reviews': 0, 'name': 'Bentinck', 'age_group': '', 'user_id': 5200891, 'type': 'solo_traveller', 'helpful_vote_count': 0, 'type_string': 'Solo traveller', 'city': '', 'countrycode': 'sg'}",[],business
9,,en-us,[],0,0,1,0,245830,3.20000004768372,jp,the breakfast wasn’t all that comfortable with plastic gloves,2022-05-07 17:04:19,2456224830,"{'checkout': '2022-05-05', 'room_id': 24583006, 'checkin': '2022-05-03', 'photo': {'ratio': 1.50243902439024, 'url_original': 'https://cf.bstatic.com/images/hotel/max500/401/40141804.jpg', 'photo_id': 40141804, 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/401/40141804.jpg', 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/401/40141804.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/401/40141804.jpg'}, 'room_name': 'Economy Double Room - Non-Smoking'}",I liked how close it was to the station.,0,nice hotel for the money.,,,534acc79b85de54d,,"{'age_group': '', 'user_id': 149914390, 'nr_reviews': 0, 'name': 'Joseph', 'avatar': 'https://graph.facebook.com/v2.9/10157825119585504/picture?type=square&height=64&width=64', 'city': '', 'countrycode': 'jp', 'type': 'solo_traveller', 'helpful_vote_count': 0, 'type_string': 'Solo traveller'}",[],leisure
