price_level,longitude,web_url,num_reviews,latitude,address_obj,cuisine,name,rating,awards,website,hours,photo_count,phone,subratings,ranking_data,write_review,see_all_photos,neighborhood_info,ancestors,trip_types,review_rating_count,category,timezone,email,description,subcategory,rating_image_url,location_id
,139.89163,https://www.tripadvisor.com/Restaurant_Review-g298162-d7417125-Reviews-Teppan_Yaki_Mon-Urayasu_Chiba_Prefecture_Kanto.html?m=66827,0,35.652855,"{'street1': '2-8-1 Fujimi', 'city': 'Urayasu', 'state': 'Chiba Prefecture', 'country': 'Japan', 'address_string': '2-8-1 Fujimi, Urayasu Chiba Prefecture'}","[{'name': 'japanese', 'localized_name': 'Japanese'}]",Teppan-Yaki Mon,,[],,,0,+81 47-355-8130,{},,https://www.tripadvisor.com/UserReview-g298162-d7417125-Teppan_Yaki_Mon-Urayasu_Chiba_Prefecture_Kanto.html?m=66827,https://www.tripadvisor.com/Restaurant_Review-g298162-d7417125-m66827-Reviews-Teppan_Yaki_Mon-Urayasu_Chiba_Prefecture_Kanto.html#photos,[],"[{'level': 'Municipality', 'name': 'Urayasu', 'location_id': '298162'}, {'level': 'State', 'name': 'Chiba Prefecture', 'location_id': '298157'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '0'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",,"{'name': 'restaurant', 'localized_name': 'Restaurant'}",Asia/Tokyo,,,"[{'name': 'sit_down', 'localized_name': 'Sit down'}]",,7417125
,139.7889,https://www.tripadvisor.com/Restaurant_Review-g1066461-d14745403-Reviews-Danshi_Chubo_Sakaba_Kuraoakari-Taito_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,2,35.702045,"{'street1': '4-5-4 Kuramae', 'street2': 'Hibi Building 1F', 'city': 'Taito', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '111-0051', 'address_string': '4-5-4 Kuramae Hibi Building 1F, Taito 111-0051 Tokyo Prefecture'}","[{'name': 'japanese', 'localized_name': 'Japanese'}]",Danshi Chubo Sakaba Kuraoakari,4.0,[],,,0,+81 3-3865-1139,"{'0': {'name': 'rate_food', 'localized_name': 'Food', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss3.5.svg', 'value': '3.5'}, '1': {'name': 'rate_service', 'localized_name': 'Service', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss3.5.svg', 'value': '3.5'}, '2': {'name': 'rate_value', 'localized_name': 'Value', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss4.0.svg', 'value': '4.0'}}","{'geo_location_id': '1066461', 'ranking_string': '#1,898 of 5,455 Places to Eat in Taito', 'geo_location_name': 'Taito', 'ranking_out_of': '5455', 'ranking': '1898'}",https://www.tripadvisor.com/UserReview-g1066461-d14745403-Danshi_Chubo_Sakaba_Kuraoakari-Taito_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,https://www.tripadvisor.com/Restaurant_Review-g1066461-d14745403-m66827-Reviews-Danshi_Chubo_Sakaba_Kuraoakari-Taito_Tokyo_Tokyo_Prefecture_Kanto.html#photos,"[{'location_id': '7277907', 'name': 'Ueno, Asakusa'}]","[{'level': 'Municipality', 'name': 'Taito', 'location_id': '1066461'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '0'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]","{'1': '0', '2': '0', '3': '0', '4': '2', '5': '0'}","{'name': 'restaurant', 'localized_name': 'Restaurant'}",Asia/Tokyo,,,[],https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg,14745403
,139.88931,https://www.tripadvisor.com/Restaurant_Review-g1066445-d7490065-Reviews-Kura-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,0,35.70336,"{'street1': '1-40-1 Shinbori', 'city': 'Edogawa', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'address_string': '1-40-1 Shinbori, Edogawa Tokyo Prefecture'}","[{'name': 'japanese', 'localized_name': 'Japanese'}]",Kura,,[],,,0,+81 3-3676-5670,{},,https://www.tripadvisor.com/UserReview-g1066445-d7490065-Kura-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,https://www.tripadvisor.com/Restaurant_Review-g1066445-d7490065-m66827-Reviews-Kura-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html#photos,[],"[{'level': 'City', 'name': 'Edogawa', 'location_id': '1066445'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '0'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",,"{'name': 'restaurant', 'localized_name': 'Restaurant'}",Asia/Tokyo,,,"[{'name': 'sit_down', 'localized_name': 'Sit down'}]",,7490065
,139.84586,https://www.tripadvisor.com/Restaurant_Review-g1066445-d17362095-Reviews-Yakiniku_Kuraichimaku-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,0,35.70406,"{'street1': '2-24-12 Hirai', 'city': 'Edogawa', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '132-0035', 'address_string': '2-24-12 Hirai, Edogawa 132-0035 Tokyo Prefecture'}","[{'name': 'barbecue', 'localized_name': 'Barbecue'}]",Yakiniku Kuraichimaku,,[],http://www.kuraichimaku.com/,,0,+81 3-3685-0203,{},,https://www.tripadvisor.com/UserReview-g1066445-d17362095-Yakiniku_Kuraichimaku-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,https://www.tripadvisor.com/Restaurant_Review-g1066445-d17362095-m66827-Reviews-Yakiniku_Kuraichimaku-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html#photos,[],"[{'level': 'City', 'name': 'Edogawa', 'location_id': '1066445'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '0'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",,"{'name': 'restaurant', 'localized_name': 'Restaurant'}",Asia/Tokyo,,,[],,17362095
,139.78961,https://www.tripadvisor.com/Restaurant_Review-g1066461-d9887173-Reviews-Tonkatsu_Kiyomasa-Taito_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,0,35.70123,"{'street1': '1-7-10 Kuramae', 'city': 'Taito', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '111-0051', 'address_string': '1-7-10 Kuramae, Taito 111-0051 Tokyo Prefecture'}","[{'name': 'japanese', 'localized_name': 'Japanese'}]",Tonkatsu Kiyomasa,,[],,,0,+81 3-3851-0904,{},,https://www.tripadvisor.com/UserReview-g1066461-d9887173-Tonkatsu_Kiyomasa-Taito_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,https://www.tripadvisor.com/Restaurant_Review-g1066461-d9887173-m66827-Reviews-Tonkatsu_Kiyomasa-Taito_Tokyo_Tokyo_Prefecture_Kanto.html#photos,"[{'location_id': '7277907', 'name': 'Ueno, Asakusa'}]","[{'level': 'Municipality', 'name': 'Taito', 'location_id': '1066461'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '0'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",,"{'name': 'restaurant', 'localized_name': 'Restaurant'}",Asia/Tokyo,,,[],,9887173
$$ - $$$,139.73715,https://www.tripadvisor.com/Restaurant_Review-g14129732-d8466418-Reviews-Labelcafe_Tokyo-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,6,35.65261,"{'street1': '1-11-49', 'street2': 'Label Bldg 1F', 'city': 'Mita', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '108-0073', 'address_string': '1-11-49 Label Bldg 1F, Mita, Minato 108-0073 Tokyo Prefecture'}","[{'name': 'cafe', 'localized_name': 'Cafe'}]",Labelcafe Tokyo,3.5,[],http://www.label-creators.com/about/cafe_tokyo.html,"{'periods': [{'open': {'day': 1, 'time': '0900'}, 'close': {'day': 1, 'time': '1700'}}, {'open': {'day': 3, 'time': '0900'}, 'close': {'day': 3, 'time': '1700'}}, {'open': {'day': 4, 'time': '0900'}, 'close': {'day': 4, 'time': '1700'}}, {'open': {'day': 5, 'time': '0900'}, 'close': {'day': 5, 'time': '1700'}}, {'open': {'day': 6, 'time': '0900'}, 'close': {'day': 6, 'time': '1700'}}, {'open': {'day': 7, 'time': '0900'}, 'close': {'day': 7, 'time': '1700'}}], 'weekday_text': ['Monday: 09:00 - 17:00', 'Tuesday: Closed', 'Wednesday: 09:00 - 17:00', 'Thursday: 09:00 - 17:00', 'Friday: 09:00 - 17:00', 'Saturday: 09:00 - 17:00', 'Sunday: 09:00 - 17:00']}",4,+81 3-5444-6677,"{'0': {'name': 'rate_food', 'localized_name': 'Food', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss3.5.svg', 'value': '3.5'}, '1': {'name': 'rate_service', 'localized_name': 'Service', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss3.5.svg', 'value': '3.5'}, '2': {'name': 'rate_value', 'localized_name': 'Value', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss3.5.svg', 'value': '3.5'}}","{'geo_location_id': '14129732', 'ranking_string': '#46 of 147 Places to Eat in Mita', 'geo_location_name': 'Mita', 'ranking_out_of': '147', 'ranking': '46'}",https://www.tripadvisor.com/UserReview-g14129732-d8466418-Labelcafe_Tokyo-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,https://www.tripadvisor.com/Restaurant_Review-g14129732-d8466418-m66827-Reviews-Labelcafe_Tokyo-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html#photos,"[{'location_id': '7278767', 'name': 'Odaiba / Shiodome / Shinbashi'}]","[{'level': 'City', 'name': 'Mita', 'location_id': '14129732'}, {'level': 'Municipality', 'name': 'Minato', 'location_id': '1066451'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '1'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '1'}, {'name': 'family', 'localized_name': 'Family', 'value': '2'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '2'}]","{'1': '0', '2': '0', '3': '2', '4': '4', '5': '0'}","{'name': 'restaurant', 'localized_name': 'Restaurant'}",Asia/Tokyo,,,"[{'name': 'cafe', 'localized_name': 'Café'}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/3.5-66827-5.svg,8466418
,139.74034,https://www.tripadvisor.com/Restaurant_Review-g1066457-d3687280-Reviews-Habukatei-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,4,35.702854,"{'street1': '3-3 Tsukudocho', 'street2': 'Matsuihonsya Bldg 1F', 'city': 'Shinjuku', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '162-0821', 'address_string': '3-3 Tsukudocho Matsuihonsya Bldg 1F, Shinjuku 162-0821 Tokyo Prefecture'}","[{'name': 'japanese', 'localized_name': 'Japanese'}]",Habukatei,5.0,[],http://www.habukatei.jp/top.html,,15,+81 3-5848-3911,"{'0': {'name': 'rate_food', 'localized_name': 'Food', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss5.0.svg', 'value': '5.0'}, '1': {'name': 'rate_service', 'localized_name': 'Service', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss5.0.svg', 'value': '5.0'}, '2': {'name': 'rate_value', 'localized_name': 'Value', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss3.0.svg', 'value': '3.0'}}","{'geo_location_id': '1066457', 'ranking_string': '#1,901 of 10,206 Places to Eat in Shinjuku', 'geo_location_name': 'Shinjuku', 'ranking_out_of': '10206', 'ranking': '1901'}",https://www.tripadvisor.com/UserReview-g1066457-d3687280-Habukatei-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,https://www.tripadvisor.com/Restaurant_Review-g1066457-d3687280-m66827-Reviews-Habukatei-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html#photos,"[{'location_id': '20928862', 'name': 'Shinjuku / Nakano / Suginami'}, {'location_id': '7278769', 'name': 'Yotsuya / Iidabashi'}]","[{'level': 'Municipality', 'name': 'Shinjuku', 'location_id': '1066457'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'business', 'localized_name': 'Business', 'value': '1'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '0'}, {'name': 'family', 'localized_name': 'Family', 'value': '1'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '2'}]","{'1': '0', '2': '0', '3': '0', '4': '0', '5': '4'}","{'name': 'restaurant', 'localized_name': 'Restaurant'}",Asia/Tokyo,,,"[{'name': 'sit_down', 'localized_name': 'Sit down'}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/5.0-66827-5.svg,3687280
,139.7419,https://www.tripadvisor.com/Restaurant_Review-g1066854-d9947111-Reviews-Fuki_Zushi-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,5,35.603184,"{'street1': '1-23-10 Higashi Oi', 'city': 'Shinagawa', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '140-0011', 'address_string': '1-23-10 Higashi Oi, Shinagawa 140-0011 Tokyo Prefecture'}","[{'name': 'japanese', 'localized_name': 'Japanese'}, {'name': 'seafood', 'localized_name': 'Seafood'}, {'name': 'sushi', 'localized_name': 'Sushi'}]",Fuki Zushi,4.0,[],,,1,+81 3-3471-8358,"{'0': {'name': 'rate_food', 'localized_name': 'Food', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss3.0.svg', 'value': '3.0'}, '1': {'name': 'rate_service', 'localized_name': 'Service', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss3.0.svg', 'value': '3.0'}, '2': {'name': 'rate_value', 'localized_name': 'Value', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss3.0.svg', 'value': '3.0'}}","{'geo_location_id': '1066854', 'ranking_string': '#1,011 of 4,132 Places to Eat in Shinagawa', 'geo_location_name': 'Shinagawa', 'ranking_out_of': '4132', 'ranking': '1011'}",https://www.tripadvisor.com/UserReview-g1066854-d9947111-Fuki_Zushi-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,https://www.tripadvisor.com/Restaurant_Review-g1066854-d9947111-m66827-Reviews-Fuki_Zushi-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html#photos,"[{'location_id': '7278774', 'name': 'Haneda / Kamata'}]","[{'level': 'Municipality', 'name': 'Shinagawa', 'location_id': '1066854'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '1'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '2'}, {'name': 'family', 'localized_name': 'Family', 'value': '1'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '1'}]","{'1': '0', '2': '0', '3': '2', '4': '2', '5': '1'}","{'name': 'restaurant', 'localized_name': 'Restaurant'}",Asia/Tokyo,,,[],https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg,9947111
$$ - $$$,139.74088,https://www.tripadvisor.com/Restaurant_Review-g1066854-d1678464-Reviews-Tachiaigawa_Yoshidaya-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,34,35.60001,"{'street1': '2-15-13 Higashioi', 'street2': '', 'city': 'Shinagawa', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '140-0011', 'address_string': '2-15-13 Higashioi, Shinagawa 140-0011 Tokyo Prefecture'}",[],Tachiaigawa Yoshidaya,4.5,[],http://www.soba-yoshidaya.com/,"{'periods': [{'open': {'day': 1, 'time': '1100'}, 'close': {'day': 1, 'time': '1430'}}, {'open': {'day': 1, 'time': '1700'}, 'close': {'day': 1, 'time': '2100'}}, {'open': {'day': 3, 'time': '1100'}, 'close': {'day': 3, 'time': '1430'}}, {'open': {'day': 3, 'time': '1700'}, 'close': {'day': 3, 'time': '2100'}}, {'open': {'day': 4, 'time': '1100'}, 'close': {'day': 4, 'time': '1430'}}, {'open': {'day': 4, 'time': '1700'}, 'close': {'day': 4, 'time': '2100'}}, {'open': {'day': 5, 'time': '1100'}, 'close': {'day': 5, 'time': '1430'}}, {'open': {'day': 5, 'time': '1700'}, 'close': {'day': 5, 'time': '2100'}}, {'open': {'day': 6, 'time': '1100'}, 'close': {'day': 6, 'time': '2100'}}, {'open': {'day': 7, 'time': '1100'}, 'close': {'day': 7, 'time': '2030'}}], 'weekday_text': ['Monday: 11:00 - 14:30,  17:00 - 21:00', 'Tuesday: Closed', 'Wednesday: 11:00 - 14:30,  17:00 - 21:00', 'Thursday: 11:00 - 14:30,  17:00 - 21:00', 'Friday: 11:00 - 14:30,  17:00 - 21:00', 'Saturday: 11:00 - 21:00', 'Sunday: 11:00 - 20:30']}",51,+81 3-3763-5903,"{'0': {'name': 'rate_food', 'localized_name': 'Food', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss4.5.svg', 'value': '4.5'}, '1': {'name': 'rate_atmosphere', 'localized_name': 'Atmosphere', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss4.5.svg', 'value': '4.5'}, '2': {'name': 'rate_service', 'localized_name': 'Service', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss4.0.svg', 'value': '4.0'}, '3': {'name': 'rate_value', 'localized_name': 'Value', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss3.5.svg', 'value': '3.5'}}","{'geo_location_id': '1066854', 'ranking_string': '#30 of 4,132 Places to Eat in Shinagawa', 'geo_location_name': 'Shinagawa', 'ranking_out_of': '4132', 'ranking': '30'}",https://www.tripadvisor.com/UserReview-g1066854-d1678464-Tachiaigawa_Yoshidaya-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,https://www.tripadvisor.com/Restaurant_Review-g1066854-d1678464-m66827-Reviews-Tachiaigawa_Yoshidaya-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html#photos,"[{'location_id': '7278774', 'name': 'Haneda / Kamata'}, {'location_id': '20928861', 'name': 'Shinagawa / Kamata / Haneda'}]","[{'level': 'Municipality', 'name': 'Shinagawa', 'location_id': '1066854'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'business', 'localized_name': 'Business', 'value': '1'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '6'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '3'}, {'name': 'family', 'localized_name': 'Family', 'value': '8'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '7'}]","{'1': '0', '2': '0', '3': '3', '4': '13', '5': '13'}","{'name': 'restaurant', 'localized_name': 'Restaurant'}",Asia/Tokyo,,,"[{'name': 'sit_down', 'localized_name': 'Sit down'}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.5-66827-5.svg,1678464
$$$$,139.73999,https://www.tripadvisor.com/Restaurant_Review-g1066457-d1677163-Reviews-Torihan-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,18,35.70287,"{'street1': '4-1 Tsukudocho', 'street2': '', 'city': 'Shinjuku', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '162-0821', 'address_string': '4-1 Tsukudocho, Shinjuku 162-0821 Tokyo Prefecture'}","[{'name': 'french', 'localized_name': 'French'}, {'name': 'japanese', 'localized_name': 'Japanese'}, {'name': 'bar', 'localized_name': 'Bar'}, {'name': 'pub', 'localized_name': 'Pub'}, {'name': 'wine_bar', 'localized_name': 'Wine Bar'}]",Torihan,4.0,[],http://kagurazaka-torihan.favy.jp/,"{'periods': [{'open': {'day': 1, 'time': '0500'}, 'close': {'day': 1, 'time': '1100'}}, {'open': {'day': 2, 'time': '0500'}, 'close': {'day': 2, 'time': '1100'}}, {'open': {'day': 3, 'time': '0500'}, 'close': {'day': 3, 'time': '1100'}}, {'open': {'day': 4, 'time': '0500'}, 'close': {'day': 4, 'time': '1100'}}, {'open': {'day': 5, 'time': '0500'}, 'close': {'day': 5, 'time': '1100'}}, {'open': {'day': 6, 'time': '0500'}, 'close': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: 05:00 - 11:00', 'Tuesday: 05:00 - 11:00', 'Wednesday: 05:00 - 11:00', 'Thursday: 05:00 - 11:00', 'Friday: 05:00 - 11:00', 'Saturday: 05:00 - 11:00', 'Sunday: Closed']}",27,+81 3-3266-0291,"{'0': {'name': 'rate_food', 'localized_name': 'Food', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss4.5.svg', 'value': '4.5'}, '1': {'name': 'rate_atmosphere', 'localized_name': 'Atmosphere', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss4.5.svg', 'value': '4.5'}, '2': {'name': 'rate_service', 'localized_name': 'Service', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss4.0.svg', 'value': '4.0'}, '3': {'name': 'rate_value', 'localized_name': 'Value', 'rating_image_url': 'https://static.tacdn.com/img2/ratings/traveler/ss4.0.svg', 'value': '4.0'}}","{'geo_location_id': '1066457', 'ranking_string': '#1,276 of 10,206 Places to Eat in Shinjuku', 'geo_location_name': 'Shinjuku', 'ranking_out_of': '10206', 'ranking': '1276'}",https://www.tripadvisor.com/UserReview-g1066457-d1677163-Torihan-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,https://www.tripadvisor.com/Restaurant_Review-g1066457-d1677163-m66827-Reviews-Torihan-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html#photos,"[{'location_id': '20928862', 'name': 'Shinjuku / Nakano / Suginami'}, {'location_id': '7278769', 'name': 'Yotsuya / Iidabashi'}]","[{'level': 'Municipality', 'name': 'Shinjuku', 'location_id': '1066457'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'business', 'localized_name': 'Business', 'value': '1'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '1'}, {'name': 'family', 'localized_name': 'Family', 'value': '2'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '5'}]","{'1': '0', '2': '0', '3': '2', '4': '6', '5': '4'}","{'name': 'restaurant', 'localized_name': 'Restaurant'}",Asia/Tokyo,sugimoto.kenji.2017@gmail.com,,"[{'name': 'sit_down', 'localized_name': 'Sit down'}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg,1677163
